#,Àlies,Org.,Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,Drets reconeguts nets
,,3421,42012,Ministeri treball. Servei atenció Materno-infantil,39832,0,39832,39832
,,3421,45009,Generalitat. Benestar. Centres oberts (Pretallers),44200,185172,229372,253172
,,3421,45010,Generalitat. Benestar. Conveni atenció primària. Foment,158789.92,201749.6,360539.52,414009.44
,,3421,45041,"GENERALITAT.CONVENI JUSTICIA,FED.MUNICIPIS.ASSOC.CAT.",0,2624.95,2624.95,2624.95
,,3421,46146,Diputació BCN.Infància i família. Intervenció medi obert,22000,0,22000,0
,,3421,46195,"DIPUTACIÓ DE BARCELONA. ÀREA DE SERVEIS SOCIALS.,",0,0,0,0
,,3422,46202,Ajuntament de Lleida. Promoció d'igualtat d'oportunitats,0,4500,4500,4500
,,3422,45003,Generalitat. Depart. Benestar i Família. Programa EAIA,221749,116418,338167,338167
,,3423,45010,Generalitat. Benestar. Conveni atenció primària. Foment,307163,101846.28,409009.28,409009.28
,,3423,45016,"GENERALITAT DE CATALUNYA. ACTUACIONS INTERCULTURALS,,",0,0,0,0
,,3423,45017,"GENERALITAT DE CATALUNYA. ATENCIÓ A DEPENDÈNCIES.,",0,0,0,0
,,3423,45019,Generalitat. Benestar. Politica de dones,9859.2,0,9859.2,9997.23
,,3423,45039,"GENERALITAT DE CATALUNYA. AJUTS D'URGÈNCIES SOCIALS (SAD),",0,0,0,80141
,,3423,46147,Diputació BCN.Area Benestar. Conveni Atenció primària,91673.12,10377.88,102051,20410.2
,,3423,46151,DIPUTACIÓ DE BARCELONA. PROGRAMA  COMPLE. URGÈNCIA SOCIAL,0,60041.4,60041.4,68826.07
,,3423,46195,"DIPUTACIÓ DE BARCELONA. ÀREA DE SERVEIS SOCIALS.,,",0,0,0,0
,,3424,45033,Generalitat de Catalunya. Actuacions comunitàries i cíviques,0,0,0,16764.58
,,3424,46102,Diputació de Barcelona. Xarxa Social Europea,0,0,0,400
,,3424,46193,Projecte Banc intgercanvis socials,0,18600,18600,18600
,,3424,45023,"GENERALITAT DE CATALUNYA. AGENTS D'OCUPACIÓ (AODL),,",0,0,0,0
,,3424,45034,Generalitat de Catalunya. Plans d'inclusió social,91246,0,91246,91014
,,3424,46146,DIPUTACIO DE BARCELONA. INFANCIA I FAMILIA. MEDI OBERT,0,0,0,0
,,3426,46567,CONSELL COMARCAL DEL BARCELONES.CONV.CASALS ESTIU,0,3101.15,3101.15,3101.15
,,3426,45024,Generalitat de Catalunya. Transport adaptat,63186.93,0,63186.93,68682.47
,,3426,46130,Diputació BCN. Atenció persones amb discapacitat,0,0,0,0
,,3426,46300,Mancomunitat transport de disminuïts,158827.09,51722.11,210549.2,321582.79
,,3426,46566,Consell Comarcal. Acció integral,0,0,0,1102.41
,,3427,34111,Ingressos centre de dia,33229.9,0,33229.9,37490.03
,,3427,45008,Generalitat. Benestar. Conveni Centre de dia,130184.44,4891.56,135076,135076
,,3427,45039,"GENERALITAT DE CATALUNYA. AJUTS D'URGÈNCIES SOCIALS (SAD),,",0,0,0,0
,,3427,46131,Diputació BCN.Projecte gent gran,0,0,0,0
,,3428,39908,"Altres ingressos,",0,0,0,59.4
,,3428,45017,"GENERALITAT DE CATALUNYA. ATENCIÓ A DEPENDÈNCIES.,,",0,0,0,0
,,3428,34100,Ingressos serveis de teleassistencia,9701.25,0,9701.25,36449.19
,,3428,45010,Generalitat. Benestar. Conveni atenció primària. Foment,131800,0,131800,163600
,,3428,45013,Generalitat. Benestar. Conveni SAD,861747.57,0,861747.57,1438835.34
,,3428,46132,Diputació BCN.Servei atencio domiciliaria,64290,69278.32,133568.32,133568.32
,,3510,45062,GENERALITAT DE CATALUNYA.PROGRAMA S. ESCOLAR,0,0,0,0
,,3510,46108,Diputació BCN. Conveni Salut Pública,5679.9,1445.1,7125,7125
,,3511,39908,"Altres ingressos,,",0,0,0,0
,,3511,45006,Servei Català de la Salut: Conveni planificació familiar,187071.97,200000,387071.97,387071.87
