#,Àlies,Org.,Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,Drets reconeguts nets
,,5514,45033,"Generalitat de Catalunya.Actuacions comunitàries i cívique,,",0,0,0,8319.79
,,5514,45034,Generalitat. Contracte programa Plans d'inclusio social  SOC,91014,0,91014,0
,,6000,32501,Expedició de documents,0,0,0,0
,,6000,46139,Diputacio BCN.Conveni immigrants. CITE,0,0,0,24100.61
,,6000,46180,Diputació de Barcelona. Serveis de mediació ciutadana,0,0,0,37500
,,6110,45012,Generalitat de Catalunya.Oficina munic.escolarització,16000,0,16000,0
,,6110,45051,Generalitat de Catalunya. Conveni escola d'adults,0,0,0,22200
,,6110,45099,Generalitat. Ensenyament. Reciclatge llibres text,250150,0,250150,0
,,6120,34900,"Altres preus publics ,",0,0,0,0
,,6120,45043,Generalitat de Catalunya.Conveni col.Pla educatiu d'entorn,0,119422,119422,53160.07
,,6120,46114,Diputació de Barcelona.Activitats educatives complementàries,41903.1,0,41903.1,45617.73
,,6120,46133,DIPUTACIÓ DE BARCELONA. SUPORT FINANÇAMENT ESCOLES BRESSOL.,0,0,0,0
,,6120,46139,Diputació BCN. Polítiques d'igualtat i ciutadania,0,11148,11148,0
,,6120,46155,DIBA. Coneguem els nostres parcs,0,1559.4,1559.4,1559.4
,,6130,45036,Generalitat de Catalunya. Suport centres educació infantil,442800,0,442800,0
,,6130,46100,Subvencions Diputació de Barcelona.,0,11433,11433,5716.5
,,6130,46152,Diputació de Barcelona. Suficiència alimentaria 0-3,0,0,0,10225.11
,,6212,55002,Concessions administratives centres cívics,0,0,0,4750
,,7000,39901,Repercussió anuncis de les licitacions,8583.08,0,8583.08,1071.66
,,7000,75099,Generalitat de Catalunya,0,357372.01,357372.01,134928.46
,,7110,46100,Subvencions Diputació Barcelona.,0,6000,6000,0
,,7120,39190,"Altres multes i sancions,,",0,0,0,28821
,,7120,39904,Desperfectes i obres execuc. subsidiaria,0,0,0,3539.48
,,7120,46100,Subvencions Diputació Barcelona.,0,5000,5000,0
,,7120,46108,Diputació de Barcelona.Conveni Salut pública,4050,0,4050,0
,,7140,46703,Recuperació ambiental Serralada de Marina,65781.48,0,65781.48,64166
,,7140,55002,Concessions administratives,2999.66,0,2999.66,0
,,7150,39905,Energia fotovoltaica- Plantes fotovoltàiques,17011.5,0,17011.5,48024.27
,,7150,46100,Subvencions Diputació de Barcelona,0,2700,2700,2699.19
,,7150,55003,Retorn canon deposició de residus,25000,0,25000,0
,,7150,75008,Generalitat de Catalunya.Estudi d'aigües freàtiques,0,71385.04,71385.04,0
,,7200,39190,"Altres multes i sancions,,,",0,0,0,61221
,,7200,45058,Generalitat de Catalunya. Tic als Mercats.,0,0,0,0
,,7200,45059,Generalitat de Catalunya. Dinamització de Mercats.,0,0,0,0
,,7200,46100,Subvencions Diputació Barcelona,0,18000,18000,4500
,,7200,46117,Diputació de Barcelona. Promoció del turisme gastronòmic.,0,0,0,1500
,,7200,46134,Diputació Barcelona. Plans de Dinamització Fondo.Singuerlin,0,4500,4500,4500
,,7200,46150,Diputació de Barcelona.Pol.local mercats municipals,0,0,0,0
,,7210,46129,Diputació de Barcelona. Activitats en matèria de consum,1433.7,0,1433.7,0
,,7300,39701,Aprofitament urbanístic,0,0,0,0
,,7300,45029,Generalitat de Catalunya. Conveni Col. Oficina Habitatge,0,154911,154911,154911
,,7300,45044,Generalitat de Catalunya. Medi ambient i habitatge,0,7049,7049,7049
,,7300,68001,Reintegrament pressupost tancat (despeses capital),0,400026.84,400026.84,400026.84
,,7300,76301,Mancomunitat de Municipis Barcelona: Operacions Vertebradore,0,0,0,0
,,7300,76303,Mancomunitat de Municipis (CAME),0,0,0,0
,,7400,55002,Concessions administratives,0,1840000,1840000,0
,,7400,55004,Concessions administratives,0,0,0,0
,,7400,72002,Ministeri de cultura. Biblioteca del Fondo,0,0,0,0
,,7400,75001,Generalitat de Catalunya. Teatre Segarra,0,0,0,0
,,7400,75004,Generalitat de Catalunya. Llei de Barris,0,0,0,0
,,7400,75005,Generalitat. PUOSC,0,287237.17,287237.17,0
,,7400,75010,Generalitat de Catalunya. Remodelació mercat Fondo,0,0,0,0
,,7400,75016,"Generalitat de Catalunya. Escola Bressol """"Oliveres""""",0,231734.96,231734.96,0
,,7400,75018,Generalitat de Catalunya. Escola bressol Fondo,0,285665.63,285665.63,0
,,7400,75021,Generalitat Catalunya: Llar residència discapacitats CDIAp,0,0,0,0
,,7400,75022,Generalitat de Catalunya. CEIP Sant Just,0,0,0,0
,,7400,75024,Generalitat de Catalunya. Llar Infants Sant Just,0,0,0,0
,,7400,75081,Consell Català de l'Esport de la Generalitat de Catalunya,0,1600000,1600000,0
,,7400,76100,Diputació de Barcelona. Teatre Sagarra,0,0,0,0
,,7400,76105,Diputació de Barcelona. Actuació biblioteques,0,1045748.78,1045748.78,24539.67
,,7400,76106,Diputació de Barcelona. Gestió telemàtica del reg,0,0,0,0
,,7400,76109,Diputació de Barcelona. Remodelació Camp futbol Oliveres,0,173908.49,173908.49,82674.67
,,7400,76111,Diputació de Barcelona. Millora de carrers.,0,0,0,0
,,7400,76113,Diputació de Barcelona. Millora edifici Ajuntament.,0,0,0,0
,,7400,76115,Diputació de Barcelona. Reparacions Biblioteca C.Peixauet,0,7330.91,7330.91,0
,,7400,76116,Diputació de Barcelona. Oficina de la Dependència,0,0,0,0
,,7400,76118,Diputació de Barcelona. Pla de concertació 2008-2011,0,1231566.56,1231566.56,9221.76
,,7400,76199,Subvencions Diputació de Barcelona,0,320788.51,320788.51,291166.66
,,7400,76301,Mancomunitat Municipis Barcelona: Operacions Vertebradores,0,52567.04,52567.04,0
,,7400,76302,Mancomunitat de Municipis Barcelona: CAME,0,1191844.28,1191844.28,864857.8
,,7400,76303,Mancomunitat de Municipis (CAME),0,1400131.29,1400131.29,100877.41
,,7400,76500,Consell Comarcal. Suport obres urbanització adequació equip.,0,0,0,0
,,7400,79103,Fons Europeus Desenv.Regional (FEDER),0,19545.62,19545.62,0
,,7400,91301,Préstec rebuts a mig i llarg termini. Fora sector públic,0,0,0,0
,,7400,91303,Préstecs entitat financera. Caixa Est.Catalunya,0,0,0,0
,,7500,32509,Taxa despeses gestió canvi titularitat concessió aparcament,0,0,0,0
,,7500,39701,Aprofitament urbanistic,0,0,0,0
,,7500,55002,"Concessions Administratives,",0,0,0,0
,,7500,75005,Generalitat de Catalunya. PUOSC,300000,0,300000,0
,,7500,76119,Diputació. Servei d'Esports.,0,500000,500000,0
,,7500,76199,Subvencions Diputació de Barcelona,0,4000,4000,0
,,7600,47005,Subvencions d'entitats privades,0,2000,2000,1000
,,7600,47010,Funerària Sta. Coloma SA Campanya de sensibilització,0,36000,36000,36000
,,7600,55002,Concessions administratives,0,0,0,14169.38
,,7620,34901,Escombraries industrials,1145384.09,0,1145384.09,1224420.42
,,7620,45101,Agència de residus de Catalunya. FORM,0,0,0,131681.79
,,7620,46603,Entitat Metropolitana Medi Ambient. Recollida selectiva,0,135033.98,135033.98,0
,,7620,75101,Agència de residus de Catalunya. FORM,0,131152,131152,92157.21
,,7620,76601,Entitat Metropolitana Serveis Hidràulics,0,51270.7,51270.7,0
,,7650,36001,Venda de paper i cartró,130965.68,0,130965.68,133928.47
,,7650,46603,Entitat Metropolitana Medi Ambient. Recollida selectiva,290367.21,0,290367.21,304324.13
,,7660,32902,Mercats,455979.11,0,455979.11,462268.13
,,7660,55002,"Concessions Administratives,,",0,0,0,19650.88
,,7660,55006,Lloguers parades mercats,0,0,0,13097.35
,,7670,55001,Concessió administrativa cementiri municipal,36896.52,0,36896.52,16493.69
,,7700,32502,Llicències d'obertura,257750,0,257750,330894.57
,,7700,32503,Llicències d'obres,257750,0,257750,137194.53
,,7700,33103,Plaques de guals,1237.2,0,1237.2,745.15
,,7700,33903,"Ocupacio de la via publica,,",0,0,0,0
,,7700,39190,Altres multes i sancions,0,0,0,22772.54
,,7700,39903,Imprevistos,0,0,0,0
,,7700,39904,"Desperfectes i obres execuc.subsidiària,",52094.04,0,52094.04,22443.9
,,7700,39907,Instal·lacions de radiocomunicació,20413.8,0,20413.8,0
,,7800,39904,Desperfectes i obres exec.subsidiària,13761.09,0,13761.09,263.2
,,7800,39906,Connexió clavegueram,6880.54,0,6880.54,610.68
,,7800,76110,Diputació de Barcelona.Con.Aigües freat.C.Peixauet.Parc Moli,0,52890.53,52890.53,52890.43
,,7810,72001,IMSERSO: Supresió barreres arquitectòniques,0,53076.85,53076.85,0.1
,,7810,76111,Diputació de Barcelona. Millora de carrers.,0,3101.82,3101.82,0
,,7810,76199,Diputació de Barcelona,0,203963.34,203963.34,58467.78
,,7820,76199,Diputació de Barcelona,0,70000,70000,0
,,7830,76103,Diputació de Barcelona. Enllumenat públic,0,200000,200000,0
,,7830,76199,Diputació de Barcelona,0,200000,200000,31392.5
,,7850,76106,Diputació de Barcelona. Gestió telemàtica del Reg,0,197109.47,197109.47,0
,,7850,76199,Diputació de Barcelona,0,267937.54,267937.54,100985.58
,,7910,39908,"Altres ingressos,,,",0,0,0,9264.72
,,8110,39904,"Desperfectes i obres execuc.subsidiària,,",0,0,0,1620.96
,,8110,39912,Costos processals,0,0,0,400
,,8110,39924,Indemnitzacions Patrimonials,0,0,0,23963.55
#TOT.,,,,,78396584.55,58168364.01,136564948.56,103804968.53
